模型,策略,5-shot,10-shot,20%,Full
resnet18,freeze_all,16.255210003206155,16.223148445014427,47.89996793844181,59.217697980121834
resnet18,fine_tune_last,27.156139788393716,33.953190125040074,80.76306508496313,92.97851875601154
resnet18,full_fine_tune,21.545367104841294,16.800256492465532,72.9721064443732,90.09297851875601
resnet18,baseline,13.850593138826547,13.978839371593459,41.03879448541199,69.92625841615903
resnet50,freeze_all,22.026290477717218,26.73933953190125,55.04969541519718,68.90028855402373
resnet50,fine_tune_last,25.168323180506572,38.025008015389545,80.25008015389548,95.12664315485732
resnet50,full_fine_tune,24.591215133055467,32.73485091375441,79.44854119910228,93.042641872395
resnet50,baseline,,,,
efficientnet_v2_s,freeze_all,26.162231484450146,31.067649887784548,80.3783263866624,92.65790317409426
efficientnet_v2_s,fine_tune_last,18.146841936518115,27.188201346585444,81.24398845783905,92.65790317409426
efficientnet_v2_s,full_fine_tune,29.015710163513948,32.606604680987495,80.1538954793203,93.042641872395
efficientnet_v2_s,baseline,,,,
